id,username,date,tweet
1387677006796492809,joentakriver,2021-04-29,"Babi Ngepet Depok Cuma Rekayasa, Pelaku Ditangkap Polisi..  Ngeri kali bah...babi pun mereka fitnah, apalagi sesama manusia. Sudah seharusnya Orang² macam gini yang pantas di tukar nasibnya jadi Babi hutan...   https://t.co/lpygeXrMlq"
1387676589719130115,ipkforlyfe,2021-04-29,mana kemaren yg bilang 'di depok kan padat penduduk? gak mungkin ada babi hutan liar'   ternyata babinya beli😅
1387675755023245312,tsukilunacchi,2021-04-29,@pipis cari di fb 'jual babi hutan hidup depok' gitu kali ya 😅
1387673508889563138,icalanakgunung,2021-04-29,Heboh babi ngepet di depok ternyata hoax. Jadi hanya sekadar akal-akalan seseorang yang berinisial A dia beli babi hutan seharga 900 ribu. Lalu dia ngarang cerita ke masyarakat hanya demi popularitas.
1387671641249902594,tumblerstarbuck,2021-04-29,@sintasnap @whenscarves Depok harus bikin taman ayting sebagai bentuk penghormatan
1387671515085246466,malhamahkubro,2021-04-29,@republikaonline percaya. kok bisa ada babi hutan di pemukiman spt depok ?
1387671325414621186,budi201932,2021-04-29,"Ustaz Ibrahim beli BABI HUTAN secara online Rp900.000 plus ongkos Rp200.000, lalu bersama rekannya menyebarkan hoaks ""BABI NGEPET"" gegerkan warga Bedahan, Sawangan Depok, Jawa Barat. 🙃🤣  https://t.co/p4WRnAikPn"
1387669692236529669,rudypro_nkri,2021-04-29,Ustaz alias tokoh masyarakat kurang terkenal bernama Ibrahim Adam ternyata membeli seekor babi hutan secara online Kapolres Kota Depok Kombes Pol Imran Siregar menyebut seekor babi hutan itu dibeli Imran dengan harga Rp 900 ribu.   https://t.co/SEK3wvY2Rs
1387668283390783488,fadelee,2021-04-29,Di depok masih ada hutan/ gunung?
1387665898975105026,rafikaputriii,2021-04-29,"Dari awal gue udah curiga. Babi dari mana nyasar ke di Depok 😂 hutan juga gaada kan ya hahahaha ternyata akal akalan.  Ada ada aja lagian si, lagi Ramadhan gini ngeprank orang hahaha."
1387661636853321729,emptyn0ise,2021-04-29,depok mau bikin kebun binatang kh?
1387661617291141121,aryafajar51,2021-04-29,Di India covid naik drastis karena kluster sungai gangga. Di depok covid naik drastis karena kluster babi ngepet.
1387660242570280961,andriinisme,2021-04-29,Kemaren dokter hewan sama masyarakat sipil adu argumen hebat gimana caranya babi hutan bisa ada di Depok. Jawaban yg paling benar adalah beli online wqwqwqwq
1387659702058700800,bangmull5,2021-04-29,"@Namaku_Mei Mksudy hoax gimna Mei,fenomena babi ngepet di daerah Depok dan Bogor bukan hal baru,dan itu terjadi tdk hanya di Kel.bedahan bnyak kejadian yg mirip di bedahan . Babi yg trtngkap itu nyata.tapi untuk di sana dan sekitarnya ngga ada hutan sama Skali."
1387658902200745984,tweetyforwin,2021-04-29,"@AREAJULID Dr awl sih mikirnya emg gini..pasti ada yg sengaja lepasin tu babi ke pemukiman..tp orang2 masih aja kekeuh""mana ada hutan di depok""...heleh tai"
1387654945281769474,arisaja,2021-04-29,"Depok itu dulu perkebunan karet, sisa-sisa pohon karet waktu gue kecil banyak di kawasan kampus UI. Kalau ngadu biji karet, biji karet dari UI ini paling gampang hancur. Kulitnya tipis. Adalagi sisa kebun karet di Citayam, yg ini kulit biji karetnya agak tebal, cocok buat aduan."
1387654630557949959,jjhyvnn,2021-04-29,@cheonsanojam Pantesan ya di depok kok ada babi? Secara kan bukan hutan. Eh taunya punya pa ustad 😬
1387654296737435648,yurihapsary,2021-04-29,"""kalo di daerah Depok ketemu babi, jangan langsung tuduh babi ngepet dong. Kan masih banyak hutan disana(?)""  ""Kalo ketemu babinya di Scbd ya baru itu kemungkinan besar Babi ngepet karna ga mungkin ada babi di Scbd""  YA GIMANA YA GAPERNAH JG GUE LG DI SUDIRMAN TIBA2 ADA BABI 😩"
1387649810681929731,utho_,2021-04-29,@DiajengLrst Gua sempet bilang kalo itu babi hutan biasa di instagram info depok tapi warga sono galak banget percaya babi ngepet beneran. Sekrang pada malu dah ketawan dikibulin warga sana juga 😑
1387648533487132673,pirmansyahpi2t,2021-04-29,"@FansRossoneri Masih belum terjawab ya babinya dari mana , secra dekat bedahan depok gak ada kawasan seperti hutan/ perkebunan ..."
1387646832751247361,diaryyonleen,2021-04-29,"udah gue duga. gue sempet mikir depok kan daerah urban, napa tiba-tiba ada babi masuk ke kampung situ? emangg kampungnya deket hutan? kalau misal daerah sumatera atau kalimantan mah masih mungkin aja babi masuk kampung.  oh, ternyata settingan😂"
1387642048732299264,akbaralif04,2021-04-29,"@dindadeys Sebagai praktisi konservasi, ga ada niatan buat ngasih edukasi ke warga depok?"
1387640407463370753,ichaazzhrrr,2021-04-29,"Udah mah gua dibuli di grup pesbuk info depok, gegara bilang itu babi hutan biasa Ternyata emang bener kaaannnn itu cuma babi hutan biasa😂😂😂😂"
1387635817879805953,semaputboy,2021-04-29,@Yoshua_600RR @hiboorans @berakflix tt-tapi depok kan padat penduduk ni..kok bisa ya babi hutan sampe ke pemukiman warga...wkwkw
